row_number,visitor_id,search_timestamp,category,pro_user_id,num_reviews,avg_rating,pro_last_active_time_before_search,cost_estimate_cents,result_position,service_page_viewed
15173,344101422347558000,2018-11-26 15:43:43.365 UTC,Local Moving (under 50 miles),343959583718981000,0,,,,6,FALSE
8426,344461605879021000,2018-11-30 19:46:46.593 UTC,House Cleaning,344053677817806000,0,,2018-11-29 00:32:46.809 UTC,8900,6,FALSE
12809,344142189241475000,2018-11-27 03:03:09.969 UTC,House Cleaning,343931062348177000,0,,,10000,21,FALSE
17310,344215295106097000,2018-11-27 23:21:35.89 UTC,House Cleaning,343931062348177000,0,,,10000,22,FALSE
10072,344364289304010000,2018-11-29 16:44:50.202 UTC,House Cleaning,343934345272852000,0,,,9000,13,FALSE
12571,344282205136609000,2018-11-28 17:56:45.914 UTC,House Cleaning,343934345272852000,0,,,11000,25,FALSE
17853,344282977059381000,2018-11-28 18:09:37.774 UTC,House Cleaning,344024536233607000,0,,,,14,FALSE
18071,344187655649198000,2018-11-27 15:40:56.322 UTC,House Cleaning,344024536233607000,0,,,,14,FALSE
10085,344364289304010000,2018-11-29 16:44:50.202 UTC,House Cleaning,344198500093534000,0,,,,26,FALSE
12575,344282205136609000,2018-11-28 17:56:45.914 UTC,House Cleaning,344198500093534000,0,,,,29,FALSE
17285,344105876235608000,2018-11-26 16:57:56.892 UTC,Local Moving (under 50 miles),343762483238674000,0,,2018-11-25 20:51:44.805 UTC,3500,15,FALSE
8295,344471055182356000,2018-11-30 22:24:15.881 UTC,House Cleaning,344235865925656000,0,,,10000,4,FALSE
25465,344362396007858000,2018-11-29 16:13:16.931 UTC,House Cleaning,344195990184992000,0,,,,15,FALSE
22950,344353362520145000,2018-11-29 13:42:43.352 UTC,House Cleaning,344309517978648000,0,,,,20,FALSE
13010,344277321146417000,2018-11-28 16:35:21.927 UTC,House Cleaning,343833200906493000,0,,,,26,FALSE
17339,344241641135677000,2018-11-28 06:40:41.945 UTC,House Cleaning,343940522846543000,0,,,8500,26,FALSE
1425,344195690873610000,2018-11-27 17:54:51.791 UTC,House Cleaning,344116320360882000,0,,,9900,22,FALSE
3675,344188244108247000,2018-11-27 15:50:44.679 UTC,Local Moving (under 50 miles),343679520337551000,0,,2018-11-26 03:33:14.627 UTC,,6,FALSE
17829,344111755375501000,2018-11-26 18:35:56.085 UTC,Local Moving (under 50 miles),343848524409200000,0,,2018-11-25 22:10:33.317 UTC,5000,5,FALSE
1140,344009284222730000,2018-11-25 14:08:04.927 UTC,House Cleaning,343926882920701000,0,,,5000,5,FALSE
806,344389534006992000,2018-11-29 23:45:34.7 UTC,Local Moving (under 50 miles),344286487757987000,0,,2018-11-29 13:18:06.166 UTC,6000,5,FALSE
3416,344375253898985000,2018-11-29 19:47:34.664 UTC,Local Moving (under 50 miles),344286487757987000,0,,2018-11-29 13:18:06.166 UTC,6000,5,FALSE
5244,344389600139100000,2018-11-29 23:46:40.888 UTC,Local Moving (under 50 miles),344286487757987000,0,,2018-11-29 13:18:06.166 UTC,6000,3,FALSE
9223,344403897021874000,2018-11-30 03:44:57.64 UTC,Local Moving (under 50 miles),344286487757987000,0,,2018-11-29 13:18:06.166 UTC,6000,5,FALSE
11483,344384794154606000,2018-11-29 22:26:34.825 UTC,Local Moving (under 50 miles),344286487757987000,0,,2018-11-29 13:18:06.166 UTC,6000,5,FALSE
14292,344404689946533000,2018-11-30 03:58:10.53 UTC,Local Moving (under 50 miles),344286487757987000,0,,2018-11-29 13:18:06.166 UTC,6000,5,FALSE
20013,344368279766376000,2018-11-29 17:51:20.472 UTC,Local Moving (under 50 miles),344286487757987000,0,,2018-11-29 13:18:06.166 UTC,6000,5,FALSE
21168,344387595912708000,2018-11-29 23:13:16.635 UTC,Local Moving (under 50 miles),344286487757987000,0,,2018-11-29 13:18:06.166 UTC,6000,5,FALSE
623,343686458898554000,2018-11-21 20:27:39.356 UTC,Local Moving (under 50 miles),343617315169255000,0,,2018-11-21 19:05:52.516 UTC,8500,5,FALSE
165,344314260258553000,2018-11-29 02:51:00.845 UTC,Local Moving (under 50 miles),343953440590807000,0,,,12500,18,FALSE
3844,344362841950961000,2018-11-29 16:20:42.57 UTC,Local Moving (under 50 miles),343953440590807000,0,,,12500,16,FALSE
9758,344210485466841000,2018-11-27 22:01:26.331 UTC,Local Moving (under 50 miles),343953440590807000,0,,,12500,19,FALSE
14792,344345268473069000,2018-11-29 11:27:49.04 UTC,Local Moving (under 50 miles),343953440590807000,0,,,12500,18,FALSE
26076,344281612095234000,2018-11-28 17:46:52.809 UTC,House Cleaning,343889561800859000,0,,,9000,23,FALSE
951,344207564375048000,2018-11-27 21:12:44.975 UTC,Local Moving (under 50 miles),344109371211980000,0,,,12000,5,FALSE
9214,344181825927995000,2018-11-27 14:03:46.492 UTC,Local Moving (under 50 miles),344109371211980000,0,,,12000,5,FALSE
15029,344226702053146000,2018-11-28 02:31:42.732 UTC,Local Moving (under 50 miles),344109371211980000,0,,,12000,5,FALSE
24976,344213196358180000,2018-11-27 22:46:36.991 UTC,Local Moving (under 50 miles),344109371211980000,0,,,12000,5,FALSE
13018,344277398887858000,2018-11-28 16:36:39.388 UTC,Local Moving (under 50 miles),344015592514879000,0,,2018-11-28 16:36:35.018 UTC,5000,4,FALSE
25571,344113989211684000,2018-11-26 19:13:10.141 UTC,House Cleaning,343673852277399000,0,,,12000,30,FALSE
22957,344353362520145000,2018-11-29 13:42:43.352 UTC,House Cleaning,343761335098007000,0,,,,27,FALSE
3011,344447288004288000,2018-11-30 15:48:08.884 UTC,House Cleaning,344289169384218000,0,,2018-11-29 01:28:11.356 UTC,8500,5,FALSE
20792,344459451017134000,2018-11-30 19:10:51.897 UTC,House Cleaning,344289169384218000,0,,2018-11-29 01:28:11.356 UTC,,17,FALSE
3278,344027325274431000,2018-11-25 19:08:45.789 UTC,Local Moving (under 50 miles),343944954425786000,0,,,10500,3,FALSE
21171,344390416730505000,2018-11-30 00:00:17.318 UTC,Local Moving (under 50 miles),343944954425786000,0,,2018-11-26 18:25:39.257 UTC,10500,3,FALSE
21977,343944790529671000,2018-11-24 20:13:11.557 UTC,House Cleaning,343783576022573000,0,,,32000,5,FALSE
13005,344277321146417000,2018-11-28 16:35:21.927 UTC,House Cleaning,343769927401897000,0,,,8500,21,FALSE
26075,344281612095234000,2018-11-28 17:46:52.809 UTC,House Cleaning,343800929959133000,0,,,7000,22,FALSE
6509,344354604088958000,2018-11-29 14:03:24.744 UTC,House Cleaning,329944242308071000,0,,,8200,9,FALSE
19826,344271331187015000,2018-11-28 14:55:31.832 UTC,House Cleaning,329698621884358000,0,,,8400,17,FALSE
24881,344449131230584000,2018-11-30 16:18:51.831 UTC,House Cleaning,329698621884358000,0,,,,7,FALSE
12080,344096102814081000,2018-11-26 14:15:03.648 UTC,House Cleaning,330580454863912000,0,,2018-08-29 02:38:33.399 UTC,20000,15,FALSE
17851,344282977059381000,2018-11-28 18:09:37.774 UTC,House Cleaning,330580454863912000,0,,2018-08-29 02:38:33.399 UTC,17500,12,FALSE
18070,344187655649198000,2018-11-27 15:40:56.322 UTC,House Cleaning,330580454863912000,0,,2018-08-29 02:38:33.399 UTC,8000,13,FALSE
9776,339492717766557000,2018-10-04 07:31:58.396 UTC,House Cleaning,330604422844964000,0,,2018-08-19 18:37:29.205 UTC,12500,3,FALSE
5300,341447239440482000,2018-10-26 22:27:19.708 UTC,House Cleaning,326414285309280000,0,,2018-08-26 20:12:57.34 UTC,7200,1,FALSE
13447,343243108136304000,2018-11-16 17:18:28.426 UTC,House Cleaning,326414285309280000,0,,2018-11-09 05:13:11.152 UTC,7200,2,FALSE
5959,343929565551509000,2018-11-24 15:59:26.421 UTC,House Cleaning,324857036116164000,0,,2018-04-19 18:27:28.587 UTC,7000,27,FALSE
13281,343879086401372000,2018-11-24 01:58:07.519 UTC,House Cleaning,324857036116164000,0,,2018-04-19 18:27:28.587 UTC,7000,23,FALSE
25901,343622916998635000,2018-11-21 02:48:37.839 UTC,House Cleaning,324857036116164000,0,,2018-04-19 18:27:28.587 UTC,7000,21,FALSE
3687,340043271936508000,2018-10-10 16:27:52.6 UTC,House Cleaning,324493119463538000,0,,2018-09-27 10:18:53.205 UTC,12400,5,FALSE
18370,339462874911203000,2018-10-03 23:14:35.737 UTC,House Cleaning,324493119463538000,0,,2018-09-27 10:18:53.205 UTC,7200,5,FALSE
